name,creation_date,content,like_count,quote_count,reply_count,retweet_count
adidas,2015-12-09,"The speed you want, created as fast as you want it. SPEEDFACTORY is activated. Learn more: https://t.co/ldru6vsJCb https://t.co/tAu1NaknVR",145,0,9,55
adidas,2015-12-11,"Teeing off with the next generation of innovation. 
10 years in the making. TOUR360 BOOST. https://t.co/95xUnU8lkX",202,0,3,46
adidas,2015-12-16,"4 Olympic Games, 6 @FIFAWWC appearances and 1 World Cup title later, Sawa leaves the game a legend. https://t.co/f5gr5DZEcN",548,0,5,266
adidas,2015-12-25,"Futurecraft 3D. Ultra Boost. YEEZY BOOST. X and Ace. 
Innovation creates new icons. The game is forever changed. https://t.co/L4BIVkI8vA",961,1,32,430
adidas,2015-12-31,Celebrate the New Year. Create the new in 2016. https://t.co/oYXkXZHRl3,323,0,8,111
adidas,2016-01-11,"Ballon d’Or number 5.
The greatest of all time.
Leo Messi is here to create. https://t.co/mKKoFCfj9z",1275,1,24,1287
adidas,2016-01-11,"What did you expect?
Leo Messi is here to create. 🏆🏆🏆🏆🏆
https://t.co/VM7gQ8hkCN",6780,2,123,5370
adidas,2016-01-12,"When you're the greatest of all time, creating history comes easy. 
🏆🏆🏆🏆🏆 https://t.co/OZlP5sia4K",1219,3,35,634
adidas,2016-01-17,"Losing is not an option. 
@J_No24 cannot be stopped. https://t.co/UncUrTFFvj",219,0,8,60
adidas,2016-01-17,"One step closer to defending his title. 
@Mac_BZ will not back down. https://t.co/Zrz4VXwZC1",192,0,1,52
adidas,2016-01-18,Denver's @Millerlite40 takes his team to the next level. https://t.co/74B89GQpy3,151,0,4,42
adidas,2016-01-19,"You can follow what they say about you or use it as motivation to create your own game.
https://t.co/Vdb71RATeK",1203,2,34,770
adidas,2016-01-24,"Sack the competition. Celebrate accordingly.   
@Millerlite40 far from finished. https://t.co/UA2KW4FPzL",343,0,1,128
adidas,2016-01-25,"Hungry for the hardware. 
@J_No24 is ready to take the title. https://t.co/i9KdnKKJOg",227,0,1,72
adidas,2016-01-28,"Revolution through innovation. This is positive energy. 
Created by women, for women. Introducing PureBOOST X. https://t.co/jJiWqpcVqT",471,0,24,195
adidas,2016-01-30,History. Created. @AngeliqueKerber dominates down under 🏆 https://t.co/63bVzuFrsY,634,0,8,192
adidas,2016-01-30,Serving up some January blues. Let's go @AngeliqueKerber! https://t.co/W2PomtY1in,361,0,3,60
adidas,2016-01-31,"We create the shoes. He creates the history.
@DjokerNole takes the #AusOpen. 🏆🏆🏆🏆🏆🏆 https://t.co/P8b6DUOANp",959,0,15,415
adidas,2016-02-04,"A self-proclaimed fitness gangster who creates herself every damn day. @RobinNYC is #heretocreate.
https://t.co/FW43hNsqOh",220,1,13,83
adidas,2016-02-04,"Gym rat. Food lover. DJ. Entrepreneur. Creators can’t be labeled.
@HannahBronfman is #heretocreate.
https://t.co/OrSihwY0d1",247,1,8,71
adidas,2016-02-04,"Introducing the creators. The difference makers. The rule breakers. @carowozniacki is #heretocreate.
https://t.co/7tGkRm4rIF",684,1,25,199
adidas,2016-02-04,"Shape-shifter. Mind-bender. She creates moves like you’ve never seen. @NicoleWinhoffer is #heretocreate.
https://t.co/gg7znwuHdq",2022,0,15,313
adidas,2016-02-05,From the court to the beach. @CaroWozniacki is #heretocreate her A-game. Get the full story: https://t.co/W6kubdZfKx https://t.co/7abVCARfRP,137,0,2,35
adidas,2016-02-06,"Beast mom. Rule maker. Name taker. @Candace_Parker is #heretocreate.
https://t.co/FHku9RDOHE",4178,0,15,2040
adidas,2016-02-06,"The gym is wherever she makes it. @RobinNYC is #heretocreate. 
Get the full story: https://t.co/9t4nKunk34 https://t.co/lJ4JGofQiM",168,0,4,43
adidas,2016-02-07,"Every day. Every league.  
We’re creating the future of sport. https://t.co/1AVw9nEG9Z",356,0,12,107
adidas,2016-02-07,"Stronger than any challenge. 
Bigger than any award.
@Stuntman1429 creates his comeback. https://t.co/pp1ln6IcdU",168,0,2,55
adidas,2016-02-08,All-star baller. All-star mother. @Candace_Parker is #heretocreate. Get the full story: https://t.co/gXNxA310Nj https://t.co/h0xUurFOax,216,0,4,66
adidas,2016-02-08,"Keep the cape. 
@Millerlite40 will take the trophy. https://t.co/2dOyjhaTRD",603,0,12,284
adidas,2016-02-09,Expect the unexpected. Fitness warrior @HannahBronfman is #heretocreate. Get the full story: https://t.co/0VQBwiYQCU https://t.co/oUw7QVpsYi,179,0,2,42
adidas,2016-02-10,A fitness artist never stops pushing. @NicoleWinhoffer is #heretocreate. Get the full story: https://t.co/zK0KDynmet https://t.co/ydDh3KSqUr,181,0,4,39
adidas,2016-02-10,"Cutting-edge craftsmanship for a revolutionary run. Introducing Futurecraft Tailored Fibre.
https://t.co/mulpqBhWIl",681,2,13,431
adidas,2016-02-10,"Tailored for you, by you. Introducing the next step in revolutionary running: Futurecraft Tailored Fibre. https://t.co/0fPtmmKw5Q",1272,2,33,642
adidas,2016-02-11,"Bringing yoga to everyone, everywhere. No matter what time, @YogaWithAdriene is #heretocreate.
https://t.co/HNcYmDUuuA",237,0,5,57
adidas,2016-02-11,"Climbing anything and everything to create paths others don’t see.  @SashaDiGiulian is #heretocreate.
https://t.co/hKmX29pF5f",211,0,6,66
adidas,2016-02-11,"Life tested her resolve. Creativity made opportunities. @anaivanovic is #heretocreate.
https://t.co/JvbrvzXBW0",581,0,13,192
adidas,2016-02-11,"Supermodel. Super nerd. Super strong. @KarlieKloss is #heretocreate what you might not expect.
https://t.co/sOxI2L3ovp",1019,1,18,431
adidas,2016-02-12,Identity challenged. @KarlieKloss is #heretocreate in the gym and on the runway. Full story: https://t.co/ft7DbJ1pFC https://t.co/OfIoQeqhI7,202,0,2,61
adidas,2016-02-13,"Inspired by the past to invest in the future. 
@22wiggins celebrates and elevates the next wave of creators. https://t.co/TK977odi37",164,0,3,36
adidas,2016-02-13,Limitations create opportunities. @anaivanovic is #heretocreate. Get the full story: https://t.co/VinB2vC2AX https://t.co/FlM6gfFPDM,182,0,0,34
adidas,2016-02-14,The love you take is equal to the love you make. https://t.co/VMBRJUhHOb,13559,10,341,9605
adidas,2016-02-15,"Wherever they are, @YogaWithAdriene is #heretocreate for the people of the world. See more: https://t.co/SqL6b9BdeJ https://t.co/HMGI7wKuWU",183,0,2,34
adidas,2016-02-16,Always in search of her own path. @SashaDiGiulian is #heretocreate. Get the full story: https://t.co/VpcGOBIB6d https://t.co/ZpM3BRjFPs,170,0,2,28
adidas,2016-02-18,"A gold medal winner who skates to the beat of her own song. Julia Lipnitskaya is #heretocreate.
https://t.co/wUWYSmYvbf",504,0,22,184
adidas,2016-02-18,"For herself. For her team. For her country. She reinvents herself at all costs. @JaqueLinevolei is #heretocreate.
https://t.co/LuIFkq34dT",261,0,3,97
adidas,2016-02-18,"Set your mind free and creativity will follow. Chances are, so will world championships. @MoeeBrian is #heretocreate
https://t.co/n09QAoUQwq",757,0,6,209
adidas,2016-02-18,"She’s building a tribe determined to run their city like never before. @MademoiselleRun is #heretocreate.
https://t.co/2MvZgq2sLL",153,1,1,44
adidas,2016-02-19,Time to show the world who she really is. Julia Lipnitskaya is #heretocreate. Full story: https://t.co/qcpieKaTMu https://t.co/QghfqSVliI,218,0,10,51
adidas,2016-02-21,In love with the run. Inspired by the tribe. @MademoiselleRun is #heretocreate. Full story: https://t.co/pzejVMcJ3y https://t.co/nsVUiQtZ62,190,0,1,36
adidas,2016-02-23,Create now. Triumph in the end. @JaquelineVolei is #heretocreate. Get the full story: https://t.co/9kzAIFnLwI https://t.co/8qSEgjEy4H,167,0,1,31
adidas,2016-02-24,We are proud to partner with @WanderlustFest to help guide your journey toward a mindful and inspired life. https://t.co/zL0E3gwYE2,152,0,2,32
adidas,2016-02-25,Set goals off the pitch. Let creativity rule on it. @MoeeBrian is #heretocreate. Full story: https://t.co/viPyiGgohb https://t.co/QlYbfoEkoi,675,0,7,176
adidas,2016-02-26,Reach the top for a better view of your next challenge. @JodieAlicia27 is ready to create. https://t.co/Bzlqn3WCFX,248,0,7,69
adidas,2016-03-06,The Queen of the track. @LauraTrott31 is double World Track Champion. 🏅🏅 https://t.co/i8psrJB6Gz,144,0,1,37
adidas,2016-03-08,"When extraordinary is your ordinary, it's worth celebrating. Happy #InternationalWomensDay. https://t.co/wooa3r2vIP",535,0,7,192
adidas,2016-03-10,"Create the future you've always imagined. 
Put your best foot forward with the NMD City Sock. Coming soon. https://t.co/YqKObPilrJ",418,0,10,106
adidas,2016-03-16,"""I chose adidas because we have shared passions and values."" Creators x adidas. Welcome to the family, @PaulPogba. https://t.co/WwGmjqShp8",1027,0,14,411
adidas,2016-03-22,"Invest in your future with the lightest cleat in football.
Presenting the adizero 5-Star 5.0 x Kevlar by @SnoopDogg. https://t.co/RFhqlB1ePy",1151,0,17,326
adidas,2016-03-23,"Heat will fall, creators will rise. Be unstoppable in the hottest conditions. Climachill is Not Made for Normal.
https://t.co/whmy4vQnxo",438,1,3,191
adidas,2016-03-25,Some run for shelter. Creators charge through. Launch into the heat with Climachill. https://t.co/qKjlBDuwZ1,300,0,3,58
adidas,2016-03-25,The next step into the future of footwear. Revolutionary BOOST cushioning meets the new NMD. Dropping March 26th. https://t.co/h3K6G6E9Ag,2665,10,146,1156
adidas,2016-03-27,"#SpeedTakes everything. From the starting gun to the final whistle. The creators of speed are ready.
https://t.co/9somx31KEx",1554,2,40,503
adidas,2016-03-28,".@EvadeGoede has played for her country since she was 17. But never on her own. #SpeedTakes teamwork.
https://t.co/Fc2WRlvyKr",307,0,2,87
adidas,2016-04-01,"Victory isn’t given. It’s taken. @GarbiMuguruza trusts her judgment in the heat of the moment. #SpeedTakes instinct.
https://t.co/PBAh7ze0Jn",432,0,7,137
adidas,2016-04-02,Create your mark. Earn your stripes. @anaivanovic reveals the @adidasTennis Roland Garros collection by @adidasY3. https://t.co/eYRPji29Sq,389,0,10,98
adidas,2016-04-04,Rookie of the Year is just the beginning. @TeamCJCorrea is ready to create a new path. Welcome to the adidas roster. https://t.co/VpvUQtlxRm,357,0,1,105
adidas,2016-04-06,Spit out fire. Sweat out weakness. Climachill will guide you through the flames. https://t.co/CiteO2TIx4,243,0,1,68
adidas,2016-04-07,On-field legend. Off-field hero. Today we tip our cap to the one and only Jackie Robinson. https://t.co/mzw4U5op5L,374,0,2,108
adidas,2016-04-09,"Sport runs deep for @TylaNathanWong. It’s in her genes. But without support, she’d be nowhere. #SpeedTakes family.
https://t.co/7LMttK2gXy",377,0,8,118
adidas,2016-04-15,It began as a quest to play. It ended as a legacy to remember. Tipping our caps to #42 and everything he stood for. https://t.co/dSMG026tr1,211,0,1,61
adidas,2016-04-15,One giant leap into the future of sportswear. The new adidas Y-3 Sport performance collection has arrived. https://t.co/EDNEeIGozx,414,0,3,95
adidas,2016-04-16,"They said @MoeeBrian was too small to play. They were wrong. #SpeedTakes creativity.
https://t.co/OUJrwRg1vg",1470,2,25,522
adidas,2016-04-18,"Hayle to the king. 
Today, Lemi Berhanu Hayle rules Boston. 🏁🏆 https://t.co/4OzRFlRc2j",289,0,7,85
adidas,2016-04-22,Our greatest footprint? Not having one at all. Plastic shopping bags in our retail stores are now history. https://t.co/HuaIBaQ7zW,1439,3,33,448
adidas,2016-04-23,"Ice in his veins.
Sidney Crosby leads his team to a decisive series win to advance into the second round. https://t.co/I6DyiSbDdk",466,0,5,124
adidas,2016-04-25,"Boss everyone. Create history.
@JuventusFCen: 2015/16 champions. 🏆 https://t.co/5oQhLVxFH1",683,1,5,293
adidas,2016-04-27,"Fit for a Queen.
#SpeedTakes innovation. Introducing the new @TeamGB Kit. #100DaysToGo https://t.co/BGaLMlHVkV",374,0,5,101
adidas,2016-04-28,"When the heat wave hits, hit back. Cooler heads prevail with Climachill. https://t.co/Xx3xo4MO0d",354,0,5,62
adidas,2016-04-30,"In her quest for medals, @LauraTrott31 pushes her body to its limits. #SpeedTakes pain.
https://t.co/H7wPI4LvTc",190,0,7,61
adidas,2016-04-30,It's Dame Time. @Dame_Lillard leads the @TrailBlazers to a comeback series win. https://t.co/uneGFD4Ce4,564,0,4,201
adidas,2016-05-01,The best version of you is what you create it to be. https://t.co/lGu5o34X0C,366,0,4,99
adidas,2016-05-03,"Reaching the top is hard. Staying there is harder. @EllieSimmonds1 has the will to win. #SpeedTakes sacrifice.
https://t.co/W72hWLONOS",292,0,1,84
adidas,2016-05-04,Create a summer dream. The @Pharrell ‘Pink Beach’ Consortium+ collection drops at select retailers worldwide May 5. https://t.co/IRjEm8KfAc,2165,4,53,809
adidas,2016-05-06,"Practice, patience and proving people wrong. @Bowie_Tori doesn’t feel pressure. She applies it. #SpeedTakes belief.
https://t.co/5eybRjRw3W",600,5,8,219
adidas,2016-05-07,It takes a team to create a dynasty. @FCBayern: Bundesliga Champions. Add it to the rest. 🏆🏆🏆🏆 https://t.co/MT4VL3Kheg,519,1,3,128
adidas,2016-05-11,"Series. Over.
There is no quit in Sidney Crosby. https://t.co/KdAN0CdzwO",382,0,18,125
adidas,2016-05-12,'Away Days’ has landed. A full-length @adidasSkate film premieres today in L.A. Coming to a city near you soon. https://t.co/Vzgs9iDzRD,493,0,5,113
adidas,2016-05-14,"Winning is all the motivation @AjeeW needs. But first she must map out her route to victory. #SpeedTakes planning.
https://t.co/MK37KQmwjY",543,1,6,186
adidas,2016-05-15,"All Day, any day.
World No. 1 @JDayGolf creates history at @THEPLAYERSChamp 🏆 https://t.co/34NONwuSOk",596,0,4,141
adidas,2016-05-20,"First never follows. 
Create a trail of 🔥🔥🔥 on the pitch with the Mercury Pack: X16, ACE16 and Messi16. https://t.co/xtsCis4d7B",1749,7,37,693
adidas,2016-05-20,"On the rings, @Zanetti_Arthur creates a bubble around himself. He‘s in his zone. #SpeedTakes focus.
https://t.co/qOaaMBKBXh",187,0,4,46
adidas,2016-05-22,"El Niño is Geared For More.
@TheSergioGarcia adds to his 🏆 collection with another win at the @ATTByronNelson. https://t.co/UAN86o8yPE",474,0,9,121
adidas,2016-05-22,"Success doesn‘t come easy. To be at his best, @SonnybWilliams must work harder than ever. #SpeedTakes training.
https://t.co/l53nbO30bq",1012,5,8,469
adidas,2016-05-27,"Every day, @MayraAguiarJudo competes to exceed her limits. This is her fight to win. #SpeedTakes willpower.
https://t.co/bAfaN6HOV7",232,0,4,70
adidas,2016-05-27,Not finished yet. Sidney Crosby has his eyes on The Cup 🏆 https://t.co/hpZPWeJeH8,418,0,6,118
adidas,2016-05-28,"There’s expecting to win, and then there’s believing you will win. For @Hey_ItsShaunae, #SpeedTakes confidence.
https://t.co/gM0o2iLfxi",362,1,4,99
adidas,2016-05-28,This is the stage where legends are born. Take your chance. Create history. https://t.co/5aQBadYa3g,951,1,7,292
adidas,2016-05-29,Create a legacy. https://t.co/eyNcOYNzwV,906,0,9,352
adidas,2016-05-30,"Behind every medal there’s a journey. @DanielDias88 knew what he wanted. Now he’s a legend. #SpeedTakes freedom.
https://t.co/7gjsEfOhgK",577,0,3,179
adidas,2016-06-02,"To be successful, you’ve got to love what you’re doing. Just ask @RudishaDavid. #SpeedTakes dedication. https://t.co/dRwey9NQjg",504,1,4,228
adidas,2016-06-04,The Greatest live on forever. https://t.co/6ge8ItdqY2,1934,4,15,734
adidas,2016-06-05,History in her hands. @GarbiMuguruza: 2016 Roland Garros champion. https://t.co/1LalUD8ScC,480,0,3,131
adidas,2016-06-05,"There‘s no room for error on the track. Every millisecond counts for @Rosangela100m. #SpeedTakes pressure.
https://t.co/pcnSe44fA3",332,0,13,77
adidas,2016-06-07,"From the sea to the street. Introducing the adidas x @Parleyxxx shoe, created from recycled ocean plastic waste.
https://t.co/iVI7mT6YJX",723,4,21,333
adidas,2016-06-08,"Today we start a journey to save the oceans.
Support @Parleyxxx’s Ocean Plastic Program.
Create a movement. https://t.co/04UPnzbFYv",1392,6,30,427
